q0001,世界最古の人類を何というか。カタカナで答えなさい。,サヘラントロプスチャデンシス
q0002,アフリカで発見された最古の人類の種別を何というか。漢字で答えなさい。,猿人
q0003,人類とその他の動物との違いとして後ろ足２本で立って歩けることを何というか。,直立二足歩行
q0004,猿人から進化を遂げて、火や言葉を使えるようになった人類を何というか。,原人
q0005,猿人との違いとして原人が使えるようになったものは言葉と何か。,火
q0006,猿人との違いとして原人が使えるようになったものは火と何か。,言葉
q0007,原人や猿人が用いたと考えられる、石を打ち割って作る道具を何というか。,打製石器
q0008,打製石器を使って狩猟採集生活を送っていた時代を何というか。,旧石器時代
q0009,現在の人類の直接の祖先と考えらる人種を何というか、漢字で答えなさい。,新人
q0010,現在の人類の直接の祖先と考えらる人種を何というか、カタカナで答えなさい。,ホモサピエンス
q0011,古代の人々が、自分たちの子孫に残したと考えられる洞窟壁画が残されているフランスの町はどこか。,ラスコー
q0012,氷期が終わり、狩猟採集生活から農耕牧畜生活へと変化した時代を何というか。,新石器時代
q0013,新石器時代に使われていた、石をみがいて作る道具を何というか。,磨製石器
q0014,新石器時代に入り、生産した作物を貯蔵したり煮炊きするために用いた道具とは何か。,土器
q0015,４大文明の共通点は、文字と何があることか答えなさい。,金属器
q0016,４大文明の共通点は、金属器と何があることか答えなさい。,文字
q0017,古代文明で主に用いられた銅と錫の混合物で作られた金属を何というか。,青銅
q0018,メソポタミア文明が誕生したのはチグリス川と何川の間か。,ユーフラテス川
q0019,メソポタミア文明が誕生したのはユーフラテス川と何川の間か。,チグリス川/ティグリス川
q0020,チグリス川とユーフラテス川の間で誕生した文明とは何か。,メソポタミア文明
q0021,メソポタミア文明で用いられた文字とは何か。,くさび形文字
q0022,メソポタミア文明で用いられた暦を何というか。,太陰暦
q0023,メソポタミア文明で用いられた数の数え方を何というか。,６０進法
q0024,メソポタミア文明で作られた「目には目をなどの決まりを持つ法を何というか。,ハンムラビ法典
q0025,紀元前３０００年ごろにナイル川流域に誕生した文明とは何か。,エジプト文明
q0026,エジプト文明が誕生したのは何川流域か。,ナイル川
q0027,古代エジプトでは王の事を何と呼んだか。,ファラオ
q0028,古代エジプトの王たちの墓と考えられているものは何か。,ピラミッド
q0029,エジプト文明で用いられた文字を何というか。,象形文字
q0030,古代エジプトで用いられた暦を何というか。,太陽暦
q0031,古代エジプトで紙の代わりになっていたものを何というか。,パピルス
q0032,紀元前２５００年ごろにインダス川流域で誕生した文明とは何か。,インダス文明
q0033,インダス文明の遺跡と考えられている、排水施設とレンガ造りの建築物が見られる遺跡とは何か。,モヘンジョダロ
q0034,中央アジアから流入し、インド周辺を支配して厳しい身分制度などをひいた民族とは何人か,アーリヤ人
q0035,インダス文明で用いられた文字だと考えられている印に彫られた文字を何というか。,インダス文字
q0036,紀元前２５００年ごろにインダス文明が誕生した場所とはどこか,インダス川
q0037,紀元前１５００年ごろ黄河流域で誕生した文明を何というか。,中国文明
q0038,現在確認されている中で中国最古の王朝とされているものは何か。,殷
q0039,中国文明で使用されたと考えられる、亀の甲羅や牛の骨などに彫られた文字を何というか。,甲骨文字
q0040,周が滅亡後、戦乱の時期に仁の心や礼の振る舞いなどにより国はおさまると説いた人物は誰か。,孔子
q0041,孔子が説いた考えをまとめた学問を何というか。,儒学
q0042,春秋戦国時代を終えて、中国を始めて一国で統一した王朝を何というか。,秦
q0043,初めて中国を一国で統一し、政が名乗った役職名を何というか。,始皇帝
q0044,始皇帝が北方からの遊牧民族の侵入をふせぐために設けた設備を何というか。,万里の長城
q0045,始皇帝が死後、自身の墓地に殉職者を連れて行かずにおかせたものとは何か。,兵馬俑
q0046,秦が滅亡後新たに中国を統一した王朝とは何か。,漢
q0047,漢が朝鮮半島への進出を目指して朝鮮半島に置いた拠点とは何か。,楽浪郡
q0048,領土を西へと拡大した漢が西方の国々との貿易に用いた貿易路を何というか。,シルクロード
q0049,シルクロードを通って、インドから中国へと伝わった宗教とは何か。,仏教
q0050,古代ギリシャで各地に造られた小国を何というか。カタカナで答えなさい。,ポリス
q0051,古代ギリシャで各地に造られた小国を何というか。漢字で答えなさい。,都市国家
q0052,アテネなどの都市国家で行われた政治の仕組みを何というか。,民主政
q0053,紀元前4世紀ごろにギリシャ世界を統一した都市国家とはどこか。,マケドニア
q0054,マケドニアの王で東方遠征をおこない、インダス川流域まで進んだ王とは誰か。,アレクサンドロス大王/アレクサンドロス
q0055,アレクサンドロス大王の東方遠征の結果、ギリシャ世界の文化とオリエントの文化が混ざり合って発生した風潮を何というか。,ヘレニズム
q0056,紀元前30年ごろに地中海一帯を支配し皇帝を中心に繁栄した国とはどこか。,ローマ帝国
q0057,古代ローマで行われていた代表者による政治を何というか。,共和政
q0058,ローマ帝国時代に造られた、石造りの巨大な円形闘技場を何というか。,コロッセオ
q0059,紀元前5世紀ごろ、インドで釈迦によって開かれた宗教とは何か。,仏教
q0060,紀元前5世紀ごろ、インドで仏教を開いた人物とは誰かカタカナで答えなさい。,シャカ
q0061,紀元前5世紀ごろ、釈迦が仏教を開いた国とはどこか。,インド
q0062,1世紀、イエスの弟子たちにより開かれた宗教とは何か。,キリスト教
q0063,紀元前後パレスチナ地域で広く信仰されていた、キリスト教の元となった宗教は何か。,ユダヤ教
q0064,イエスの弟子たちによってまとめられたイエスの教えを書いたキリスト教の教典とは何か。,新約聖書/聖書
q0065,6世紀にアラビア半島でイスラム教を開いた人物とは誰か。,ムハンマド
q0066,6世紀アラビア半島でムハンマドにより広められた宗教とは何か。,イスラム教
q0067,イスラム教の聖典とは何か。,クルアーン/コーラン
q0068,イスラム教の信仰の対象となる神とは何か。,アッラー/アラー
q0069,キリスト教やユダヤ教の聖地とされている場所とはどこか。,エルサレム
q0070,古代ギリシャで成年男子が集まり方針を話し合う集まりを何というか。,民会
q0071,野尻湖で発見された大型動物の化石とは、ナウマンゾウと何か。,オオツノジカ
q0072,野尻湖で発見された大型動物の化石とは、オオツノジカと何か。,ナウマンゾウ
q0073,旧石器時代日本で打製石器の材料として使われていた鉱物とは何か。,黒曜石
q0074,1万年前ごろから広まった、厚手で表面に縄目模様のついた土器を何というか。,縄文土器
q0075,縄文時代の人々の遺跡から発見された一部が欠損したものが多くみられる土でできた像を何というか。,土偶
q0076,縄文時代の終わりに定住がはじまり掘り下げた地面に柱を立てて造られた住居を何というか。,たて穴住居/竪穴住居
q0077,縄文時代の人々の生活の痕跡として、生活の中で出たごみが捨てられていた場所を何というか。,貝塚
q0078,農耕生活が始まり、収穫した作物を収蔵するために建てられた建物とは何か。,高床倉庫
q0079,高床倉庫への動物の侵入をふせぐために施された仕掛けとは何か。,ねずみがえし
q0080,稲作とともに大陸から伝わった金属器の一つで鐘状の道具を何というか。,銅鐸
q0081,稲作とともに大陸から伝わった金属器の一つで古墳などから数百枚単位で見つかる円盤状の道具を何というか。,銅鏡
q0082,弥生時代の遺跡で、佐賀県にある堀や櫓跡などが見つかっている遺跡とはどこか。,吉野ケ里遺跡
q0083,中国の後漢書に記述が残る、光武帝から金印を授けられたのは何という国の王か。,奴/奴国
q0084,奴国の王に金印を授けたことが記載されている中国の書物とは何か。,後漢書
q0085,奴の国王が光武帝から授けられた金印には何という文字が彫られていたか。,漢委奴国王
q0086,弥生時代30もの国を従えた卑弥呼が治めた国とはどこか。,邪馬台国
q0087,邪馬台国の女王で中国へと使いを送った女王とは誰か,卑弥呼
q0088,卑弥呼が使いを送った中国の国とはどこか。,魏
q0089,卑弥呼が中国へと使いを送った記録が残っている書物とは何か。,魏志倭人伝
q0090,アジアの国々が中国の皇帝に使いを送り、貢物を献上し認められることで力を握ることができる仕組みを何というか。,朝貢
q0091,紀元前8世紀ごろから作られた、縄文土器に比べ薄く実用的な形状のものが多い、硬度が高い野焼きで作る土器を何というか。,弥生土器
q0092,3世紀後半ごろにできた、奈良盆地を中心に強い権力を持った豪族の集まりを何というか。,大和政権/大和王権
q0093,大和政権で大王に仕える地域の有力者を何というか。,豪族
q0094,大和政権の中心になり地域の豪族らを従えた人物を何というか。,大王
q0095,大和政権の皇族や豪族らの墓として造られたものを何というか。,古墳
q0096,古墳の中でも近畿地方を中心に多くみられる鍵穴型のものを何というか。,前方後円墳
q0097,世界でも最大級の墓とされている堺市にある古墳とは何か。,大山古墳/仁徳天皇陵
q0098,古墳の中や周囲に置かれた土製の置物を何というか。,埴輪
q0099,５世紀から６世紀にかけて、朝鮮半島や大陸から日本に移り住み多くの技術や文化を伝えた人々を何というか。,渡来人
q0100,５世紀から６世紀朝鮮半島の北部を支配した国とはどこか。,高句麗
q0101,５世紀から６世紀朝鮮半島の南部の東側を支配した国とはどこか。,新羅
q0102,５世紀から６世紀朝鮮半島の南部の西側を支配し、日本とも国交のあった国とはどこか。,百済
q0103,中国への朝貢を行い朝鮮半島への進出も図った日本の５人の王を何と呼ぶか。,倭の五王
q0104,宋の皇帝に手紙を送り、朝鮮半島での力を持とうとした日本の大王とは誰か。中国名で答えなさい。,武/倭王武
q0105,渡来人たちが伝えたかまどを用いて焼かれた、黒色の硬い器を何というか。,須恵器
q0106,江田船山古墳と稲荷山古墳で発見された鉄剣に彫られた王の名とは何か。,ワカタケル/ワカタケル大王/獲加多支鹵/獲加多支鹵大王
q0107,ワカタケル大王の鉄剣が発見されている熊本県の遺跡とはどこか。,江田船山古墳
q0108,ワカタケル大王の鉄剣が発見されている埼玉県の遺跡とはどこか。,稲荷山古墳
q0109,5世紀、日本の大王から頻繁に朝貢や手紙があったことが記されている中国の書物とは何か。,宋書
q0110,漢滅亡後、６世紀末に中国を統一した王朝とは何か。,隋
q0111,隋で作られた、刑法と政治にまつわる法をまとめたものを何というか。,律令
q0112,大和政権内で渡来人と結びつき力を持った豪族とは誰か。,蘇我/蘇我氏
q0113,６世紀頃から７１０年に奈良に都が移るまでの時代を何というか。,飛鳥時代
q0114,推古天皇のおいで摂政として政治を行った人物とは誰か。,聖徳太子/厩戸王
q0115,聖徳太子が定めた、家がらにこだわらず、才能や功績により採用する制度を何というか。,冠位十二階
q0116,聖徳太子が定めた役人が守るべき決まりを何というか。,十七条の憲法/十七条憲法
q0117,小野妹子を大使として大陸の文化を学ぶために派遣した使節を何というか。,遣隋使
